ID,NAME
EVAP,Evaporation of water from evaporation pan
SX02,Maximum soil temperature with unknown cover at 10 cm depth
FRGB,Base of frozen ground layer
WT03,Thunder
WT04,"Ice pellets, sleet, snow pellets, or small hail"
MDWM,Multiday wind movement
WT05,Hail (may include small hail)
WV03,Thunder
WT06,Glaze or rime
DAWM,Number of days included in the multiday wind movement (MDWM)
WT07,"Dust, volcanic ash, blowing dust, blowing sand, or blowing obstruction"
WT08,Smoke or haze
WT09,Blowing or drifting snow
WDF1,Direction of fastest 1-minute wind (degrees)
WDF2,Direction of fastest 2-minute wind (degrees)
WT10,"Tornado, waterspout, or funnel cloud"
WDF5,Direction of fastest 5-second wind (degrees)
WT11,High or damaging winds
PGTM,"Peak gust time (hours and minutes, i.e., HHMM)"
WT12,Blowing spray
WT13,Mist
FRGT,Top of frozen ground layer
WDMV,24-hour wind movement
SN52,Minimum soil temperature with sod cover at 10 cm depth
FMTM,Time of fastest mile or fastest 1-minute wind
WSF2,Fastest 2-minute wind speed
WSF5,Fastest 5-second wind speed
SNOW,Snowfall (mm)
THIC,Thickness of ice on water
TOBS,Temperature at the time of observation (tenths of degrees C)
MDEV,Multiday evaporation total (use with DAEV)
WSF1,Fastest 1-minute wind speed
WSFG,Peak guest wind speed
WT01,"Fog, ice fog, or freezing fog (may include heavy fog)"
WESD,Water equivalent of snow on the ground
WT02,Heavy fog or heaving freezing fog (not always distinguished from fog)
SN02,Minimum soil temperature with unknown cover at 10 cm depth
GAHT,Difference between river and gauge height
PRCP,Precipitation
MXPN,Daily maximum temperature of water in an evaporation pan (tenths of degrees C)
SNWD,Snow depth (mm)
TMAX,Maximum temperature (tenths of degrees C)
FRTH,Thickness of frozen ground layer
SX52,Maximum soil temperature with sod cover at 10 cm depth
WDFG,Direction of peak wind gust (degrees)
WT14,Drizzle
ACSH,Average cloudiness sunrise to sunset from manual observations
WT15,Freezing drizzle
WT16,"Rain (may include freezing rain, drizzle, and freezing drizzle)"
WT17,Freezing rain
WT18,"Snow, snow pellets, snow grains, or ice crystals"
WT19,Unknown source of precipitation
DAEV,Number of days included in the multiday evaporation total (MDEV)
AWND,Average daily wind speed
WT21,Ground fog
WV20,Rain or snow shower
WT22,Ice fog or freezing fog
TMIN,Minimum temperature (tenths of degrees C)
TAVG,Average temperature
PSUN,Daily percent of possible sunshine
MNPN,Daily minimum temperature of water in an evaporation pan (tenths of degrees C)
TSUN,Daily total sunshine (minutes)
WSFM,Fastest mile wind speed
SN12,Minimum soil temperature with grass cover at 10 cm depth
ACMH,Average cloudiness midnight to midnight from manual observations
SX32,Maximum soil temperature with bare ground cover at 10 cm depth
WSFI,Highest instantaneous wind speed
SN32,Minimum soil temperature with bare ground cover at 10 cm depth
SX12,Maximum soil temperature with grass cover at 10 cm depth
WDFI,Direction of highest instantaneous wind (degrees)
WDFM,Fastest mile wind direction (degrees)
WV01,"Fog, ice fog, or freezing fog (may include heavy fog)"
WV07,"Ash, dust, sand, or other blowing obstruction"
DAPR,Number of days included in the multiday precipitation total (MDPR)
MDPR,"Multiday precipitation total (use with DAPR and DWPR, if available)"
MDSF,Multiday snowfall total
DASF,Number of days included in the multiday snow fall total (MDSF)
SX03,Maximum soil temperature with unknown cover at 20 cm depth
SN53,Minimum soil temperature with sod cover at 20 cm depth
SN03,Minimum soil temperature with unknown cover at 20 cm depth
SX53,Maximum soil temperature with sod cover at 20 cm depth
ACMC,Average cloudiness midnight to midnight from 30-second ceilometer data
ACSC,Average cloudiness sunrise to sunset from 30-second ceilometer data
WV18,Snow or ice crystals
SX33,Maximum soil temperature with bare ground cover at 20 cm depth
SN33,Minimum soil temperature with bare ground cover at 20 cm depth
SX01,Maximum soil temperature with unknown cover at 5 cm depth
SN01,Minimum soil temperature with unknown cover at 5 cm depth
WESF,Water equivalent of snowfall
SN51,Minimum soil temperature with sod cover at 5 cm depth
SN35,Minimum soil temperature with bare ground cover at 100 cm depth
SN54,Minimum soil temperature with sod cover at 50 cm depth
SN31,Minimum soil temperature with bare ground cover at 5 cm depth
SX35,Maximum soil temperature with bare ground cover at 100 cm depth
SX54,Maximum soil temperature with sod cover at 50 cm depth
SX31,Maximum soil temperature with bare ground cover at 5 cm depth
SX51,Maximum soil temperature with sod cover at 5 cm depth
SX23,Maximum soil temperature with fallow cover at 20 cm depth
SX22,Maximum soil temperature with fallow cover at 10 cm depth
SX21,Maximum soil temperature with fallow cover at 5 cm depth
SN13,Minimum soil temperature with grass cover at 20 cm depth
SN11,Minimum soil temperature with grass cover at 5 cm depth
SX13,Maximum soil temperature with grass cover at 20 cm depth
SX11,Maximum soil temperature with grass cover at 5 cm depth
SN23,Minimum soil temperature with fallow cover at 20 cm depth
SN21,Minimum soil temperature with fallow cover at 5 cm depth
SN22,Minimum soil temperature with fallow cover at 10 cm depth
SX55,Maximum soil temperature with sod cover at 100 cm depth
SX83,Maximum soil temperature with bare muck cover at 20 cm depth
SN72,Minimum soil temperature with grass muck cover at 10 cm depth
SX72,Maximum soil temperature with grass muck cover at 10 cm depth
SN83,Minimum soil temperature with bare muck cover at 20 cm depth
